,log2FC,mean_expression_cancer,mean_expression_control,dispersion,variance,pct_samples_expressed,pvalue,padj,baseMean,abs_log2FC,expression_ratio,cv
ENSG00000000003,-1.26455759406575,2965.03357684565,7123.23435887889,0.17327442956471,0.544000893203126,100.0,3.5568922868355e-63,6.01535156472734e-62,3453.43562628512,1.26455759406575,0.416330152467416,0.0638321337510291
ENSG00000000005,-0.618709193223394,90.3778924524484,138.819688881537,2.71709886353696,4.74932757734626,19.5758564437194,0.0383492690842782,0.0468794488615341,96.0676303690787,0.618709193223394,0.653540951087861,0.509827745013311
ENSG00000000419,-0.0557141749231315,1437.99333156472,1494.45903812921,0.0828855554194125,0.16245256861415,100.0,0.286822946535989,0.316775544669259,1444.62551895892,0.0557141749231315,0.962241890199057,0.0386212605138212
ENSG00000000457,-0.375484624726578,608.542952717357,788.5368714613,0.0523499719649788,0.126922889102448,100.0,3.2462001628642604e-19,1.03886223343822e-18,629.6841634018,0.375484624726578,0.772025949325451,0.0384915796345486
ENSG00000000460,0.584896014172798,201.802448738018,134.448901898181,0.113772191662208,0.30308837156307,99.021207177814,1.31790724325051e-20,4.4779960632309e-20,193.891428554546,0.584896014172798,1.49726166765433,0.0733634897621112
ENSG00000000938,1.52546879116357,1151.9801887148,400.16580144867,0.313042669671388,0.910208016342052,100.0,6.11657947469573e-51,6.9171263202288495e-50,1063.67572561013,1.52546879116357,2.87407397278436,0.0977996497727955
ENSG00000000971,0.701611288140352,5580.10630154048,3431.1484756556,0.900061372095985,2.19678164841457,100.0,4.39621457098056e-05,6.78977000115827e-05,5327.7001621217,0.701611288140352,1.62612612511596,0.127516167153807
ENSG00000001036,0.151710990571102,3307.58035890032,2977.22895424416,0.116476810965207,0.238106545821109,100.0,0.014174666220363,0.018051157974905,3268.77888885914,0.151710990571102,1.11092209824412,0.0421059524168441
ENSG00000001084,0.118242276792477,1914.35382101703,1763.99786751447,0.166152175589149,0.357215890159492,100.0,0.109553594615904,0.127591906381999,1896.69374164968,0.118242276792477,1.08518761199089,0.0555117466626185
ENSG00000001167,-0.0651829893982442,1409.9576812719,1475.16768312834,0.0654084067451011,0.13703283226066,100.0,0.161144151642043,0.184285034302386,1417.61693108211,0.0651829893982442,0.955824800527913,0.0355182307184708
ENSG00000001460,-0.700632915199547,554.088409034137,900.20669109592,0.101363118838897,0.304059408498532,99.836867862969,1.1837169043155e-33,6.87287314949478e-33,594.741779847266,0.700632915199547,0.615939067606252,0.0604414069999281
ENSG00000001461,-0.775591070623186,3335.62497291162,5710.20597849502,0.196844818732744,0.511655756887385,100.0,4.70676734906959e-22,1.6965702963522902e-21,3614.53171418732,0.775591070623186,0.584224240112395,0.0614035270639282
ENSG00000001497,0.326098152999153,2550.88587895285,2034.6254549616,0.0664151891911588,0.13485529280964,100.0,3.22709064295315e-12,7.42989693451206e-12,2490.24843926709,0.326098152999153,1.25361267846839,0.032698252848659
ENSG00000001561,-0.541224586106736,2621.45692960251,3814.79329030743,0.271785126977264,0.727006622826778,100.0,9.844569350337131e-09,1.87105152865061e-08,2761.62041731989,0.541224586106736,0.687263887240397,0.0760243085733521
ENSG00000001617,1.13869889120307,6791.29009141309,3084.21862491789,0.245053709709221,0.756498159208405,100.0,5.7430474571291e-37,3.81291619717961e-36,6355.87549828478,1.13869889120307,2.20155876039218,0.0700712468156792
ENSG00000001626,-0.781905891908649,1332.86453201081,310.935890691179,1.71074661626805,4.95361517186314,52.3654159869494,0.0009688382024461,0.0013557467338728,174.214217733098,0.781905891908649,4.27608547722826,0.360258787054431
ENSG00000001629,0.0470307235935281,4946.35271500659,4788.13886802512,0.172292760471978,0.364737664358007,100.0,0.531521343441284,0.562803321306745,4927.76968567108,0.0470307235935281,1.03303596979361,0.049749187653252
ENSG00000001630,-1.03395318416125,83.8947270131065,171.937510483192,0.548435066176005,1.79167188295689,65.089722675367,1.72017728826413e-14,4.42729082644957e-14,94.2358043538017,1.03395318416125,0.490898283292667,0.219929051686066
ENSG00000001631,0.579569165149069,400.271338662651,267.7246474531,0.120420588117272,0.264505454737597,100.0,9.087762018328792e-20,2.98060008510174e-19,384.703048667402,0.579569165149069,1.49324352070342,0.0605723448100702
ENSG00000002016,0.567693091378717,600.696612844875,405.155114910124,0.212363744532667,0.45663378221592,99.836867862969,1.28320294870149e-11,2.86399813493628e-11,577.729259090712,0.567693091378717,1.48144536596079,0.0750201935766113
ENSG00000002330,0.44245567529628,644.801278685873,473.751895027762,0.344179235099955,0.690256524151056,99.184339314845,3.24844302739262e-05,5.06459819297561e-05,624.710649610206,0.44245567529628,1.36029215564923,0.092131206568476
ENSG00000002549,-0.031719567767228,7063.27844024412,7220.62124009475,0.210790106084741,0.445539862097607,100.0,0.702747565148095,0.727097494685763,7081.7591606181,0.031719567767228,0.97821226084566,0.0528354265559636
ENSG00000002586,1.2707425885378,10418.0846183318,4317.77715184371,0.22170722433941,0.640210995652749,100.0,3.0671304155847e-50,3.37820172416354e-49,9701.57215897267,1.2707425885378,2.41250804382991,0.0613947697845918
ENSG00000002587,-0.743402752086634,851.752169387162,1425.71766466291,0.545048246663485,1.08784200327806,99.836867862969,2.69788967853833e-08,5.01487227116793e-08,919.16736622216,0.743402752086634,0.597702117600572,0.111000274932001
ENSG00000002726,0.0020250318966449,18974.8589989363,18948.2869193682,1.72703373789457,8.00068436167677,95.9216965742251,0.993206868357849,0.993847957186868,18971.7379716461,0.0020250318966449,1.00140227332465,0.223370212377029
ENSG00000002746,-3.74803208079162,88.5931666984066,1189.2290466751,1.5113387670481,5.08618971467361,41.9249592169657,1.38487046978849e-63,2.38543938421067e-62,217.86850659779,3.74803208079162,0.075273886945277,0.398830934288679
ENSG00000002822,1.51755562618504,38.7119456572703,13.2979551285848,0.439499746970313,0.965312690947642,10.7667210440457,3.99877287882013e-32,2.17894469433775e-31,35.7269418757608,1.51755562618504,2.77745630757208,0.205370707813026
ENSG00000002834,0.215577038375664,13796.9307977166,11882.3020829227,0.0929017068488148,0.238021204974308,100.0,9.37226726565927e-05,0.000141095968231,13572.0478165337,0.215577038375664,1.16111924963562,0.0357177578637785
ENSG00000002919,-0.230193979267334,1471.55545106674,1725.46637765398,0.0752242386751059,0.157027126059972,100.0,3.83878065782692e-06,6.33935522215306e-06,1501.37859415692,0.230193979267334,0.852930280094844,0.0377545728914515
ENSG00000002933,1.2807161847563,31465.5374578266,12951.0441472864,0.48722205250414,2.11028309322958,99.836867862969,3.77686041037866e-24,1.48355013121356e-23,29290.9150787746,1.2807161847563,2.42946496321349,0.100796079336297
ENSG00000003056,0.0519711976243092,4405.58464998967,4250.02279385316,0.161694044832935,0.397294597468565,100.0,0.475455925280627,0.50806517192231,4387.31311060659,0.0519711976243092,1.03659398306719,0.0526147849940377
ENSG00000003096,-2.17894451044717,689.805876425017,3123.50070392852,0.426419136671521,1.53188030722477,99.510603588907,7.956382857514391e-76,2.0846843703991602e-74,975.655839851203,2.17894451044717,0.221093205566076,0.132245029504897
ENSG00000003137,-1.64706239108398,442.595847530934,1386.44369202844,0.667052241665703,1.98638209964077,95.9216965742251,8.44840706845552e-29,4.02989017165328e-28,553.455626982517,1.64706239108398,0.319721693989899,0.16669423748451
ENSG00000003147,-0.819419706061698,684.458379664352,1207.23337296562,0.317441146721854,0.733430871323322,100.0,1.01674255583362e-15,2.7644638652693507e-15,745.860988991744,0.819419706061698,0.567322832659298,0.0923239825357418
ENSG00000003249,0.150771057959779,1219.69739052063,1098.62638393336,0.481887007573049,1.16541872873456,99.836867862969,0.230531307071714,0.258130125523961,1205.47697865393,0.150771057959779,1.11010194767626,0.109469233260574
ENSG00000003393,-0.229331512336135,1749.85504837692,2051.75251216093,0.071475680654904,0.157541159475852,100.0,2.31467955489016e-06,3.87195250064038e-06,1785.31445684747,0.229331512336135,0.852930413191306,0.0369272883136325
ENSG00000003400,0.215623342692631,1799.04539505788,1549.15991508615,0.108473962272243,0.25412027370004,100.0,0.0003094650806821,0.0004497991168005,1769.6950613581,0.215623342692631,1.16119980754233,0.0470735641138556
ENSG00000003402,0.396264440028938,11036.1450637136,8385.58270677887,0.13085462389788,0.308404863746334,100.0,1.4471025948906302e-09,2.88505514658133e-09,10724.8228945467,0.396264440028938,1.31604796012949,0.0417938358355027
ENSG00000003436,1.08089658931908,13041.7448311098,6165.31825649764,0.632961246771688,1.96972254196004,100.0,6.09832774537185e-14,1.52831996560895e-13,12234.0731942875,1.08089658931908,2.11515920660862,0.107617670792347
ENSG00000003509,0.0836864257822313,720.519385809727,680.011899588376,0.0662990412628269,0.132525364878385,100.0,0.0755511205775931,0.0896865226281006,715.761573398737,0.0836864257822313,1.05948131926305,0.0385787517311243
ENSG00000003756,0.291908852004514,2621.31037247857,2141.05305479669,0.179449388553297,0.379361600114556,100.0,0.0001430572846641,0.0002126144177205,2564.90168263666,0.291908852004514,1.22420421221895,0.0550447842826146
ENSG00000003987,-0.246180130333669,107.887472407541,127.572349290958,0.298226654317619,0.548843423213283,85.1549755301794,0.0139247019384471,0.0177413348511014,110.199562351433,0.246180130333669,0.846896498415298,0.112811839319088
