,log2FC,mean_expression_cancer,mean_expression_control,dispersion,variance,pct_samples_expressed,pvalue,padj,baseMean,abs_log2FC,expression_ratio,cv
ENSG00000000003,-0.0782965335567621,3402.71022559564,3592.24109037304,0.133816433236316,0.312571016100883,100.0,0.309007943246837,0.35965455848027,3420.53229606296,0.0782965335567621,0.947253507346004,0.048023097761551
ENSG00000000419,-0.0677192535179694,1377.46252314814,1443.56494978201,0.0395976204573279,0.0863978556848672,100.0,0.108260458903908,0.139240802960843,1383.67830286778,0.0677192535179694,0.95424059912028,0.0282465843548282
ENSG00000000457,-0.06387479647758,825.060577971438,862.567716640927,0.0886204369095523,0.190674612703695,100.0,0.31026311063011,0.360995628022942,828.58746985356,0.06387479647758,0.956567229243605,0.0453399299378692
ENSG00000000460,-0.0690830353686937,173.943292940043,182.450847339973,0.10301013507027,0.243091782975394,98.5533453887884,0.317457697743686,0.368559516258776,174.743279972224,0.0690830353686937,0.953624883595312,0.0668426577622732
ENSG00000000938,-0.103911956925729,268.219357208599,288.145316099486,0.319098812356336,0.697624398230654,99.2766726943942,0.38388509917562,0.435556684387895,270.093045928899,0.103911956925729,0.931086696614407,0.106536507592379
ENSG00000000971,-0.956622392124435,1142.69086910042,2217.6568358307,0.469822663295892,1.21304360805214,100.0,3.2102372113519e-11,1.50898362001697e-10,1243.7726598237,0.956622392124435,0.515487952273701,0.111421870924935
ENSG00000001036,0.420917123007531,2502.58502628241,1869.33576011485,0.128623448481044,0.286860441141418,100.0,2.50017757930427e-08,8.31006890956241e-08,2443.03898317081,0.420917123007531,1.33857517974669,0.0480104377078425
ENSG00000001084,-0.323076082395582,2269.90295887352,2839.48565358795,0.112387554097507,0.243228258644173,100.0,4.69245494872095e-06,1.17047677643939e-05,2323.46227193889,0.323076082395582,0.799477003520517,0.0444426123544908
ENSG00000001167,0.30084361198818,1745.0565354083,1416.57113306531,0.0906560671604162,0.204986169557815,100.0,2.16943319473208e-06,5.66443368626024e-06,1714.16821547732,0.30084361198818,1.23172410518313,0.0424116005702548
ENSG00000001460,-0.284924058471695,662.827623394498,807.290764525639,0.0976587437402741,0.210100697646304,100.0,1.61855370499403e-05,3.74826338788276e-05,676.411860896884,0.284924058471695,0.821273299818138,0.0491308031237711
ENSG00000001461,-0.748366330077753,7525.19360297119,12641.4580528729,0.501270907018772,1.2047465848255,100.0,4.94660218396997e-07,1.40065852861023e-06,8006.28899428202,0.748366330077753,0.595310941234321,0.0874101220675315
ENSG00000001497,0.240717278564482,2652.33915865425,2244.61170336462,0.0566513181669039,0.108028112468192,100.0,1.6312152733419e-06,4.32286840802653e-06,2613.99950643895,0.240717278564482,1.18156632096222,0.0290611035031282
