,log2FC,mean_expression_cancer,mean_expression_control,dispersion,variance,pct_samples_expressed,pvalue,padj,baseMean,abs_log2FC,expression_ratio,cv
ENSG00000000003,1.1036136425182,3208.36901764726,1492.82649807412,0.267182289279987,0.661804999241472,100.0,4.46393259225111e-27,3.58451558905223e-26,3039.39237548563,1.1036136425182,2.1484215347531,0.07174448249795
ENSG00000000419,0.252408258434843,1542.76755643783,1295.13705595839,0.14876149780414,0.284116331565946,100.0,0.0009769146296784,0.0015289735699134,1518.37657225037,0.252408258434843,1.19105271262871,0.0509688271267362
ENSG00000000457,0.476899895254686,773.676417127882,555.905459978705,0.107199220260639,0.233832909800952,100.0,3.2182638159873e-13,1.08326703929937e-12,752.226523184975,0.476899895254686,1.39103756884966,0.0510526029300918
ENSG00000000460,1.73837342885406,399.028798608853,119.583655204574,0.242507796473722,0.741730436123451,99.8330550918197,2.22274242177822e-68,1.28852311441462e-66,371.504151762689,1.73837342885406,3.31743798884012,0.103863304102456
ENSG00000000938,-2.10838474523161,1012.63694431082,4366.6767173309,0.478731712385048,1.56404722931681,100.0,1.68668912417291e-53,5.237852658271981e-52,1343.00146285537,2.10838474523161,0.232076916381818,0.127334998569795
ENSG00000000971,0.172518240233495,5286.13472708411,4690.23749019295,0.568933044228,1.33271367359547,100.0,0.247708154887913,0.285597456964479,5227.44034148048,0.172518240233495,1.12702346409383,0.096980195435411
ENSG00000001036,0.237578537521862,2410.11794515636,2044.18075889776,0.196701125594648,0.410294280709648,100.0,0.0068600794042122,0.0097566268820808,2374.07404868014,0.237578537521862,1.17892657393072,0.0578820209840684
ENSG00000001084,2.228626025009,4645.96213328019,991.244121588284,1.17894979571004,2.76913529908319,100.0,3.3816430605316404e-25,2.42854306698299e-24,4285.98156117698,2.228626025009,4.68328512326362,0.151830489125508
ENSG00000001167,0.791390752384079,1956.48602800236,1130.50272654556,0.143805325693614,0.315355601392154,100.0,7.88878758502282e-26,5.875198902055581e-25,1875.12874121446,0.791390752384079,1.72998790199869,0.0522318270987232
ENSG00000001460,-0.330213548551082,553.56880145647,695.704944214527,0.177716456399497,0.38785635155158,99.8330550918197,8.20317718723304e-05,0.0001427642737309,567.568855584559,0.330213548551082,0.795988037779317,0.0690770582511684
ENSG00000001461,-0.539158395781416,2227.14302619029,3236.27524818923,0.203102431301416,0.478973730087039,100.0,1.52713016974294e-09,3.93220232049056e-09,2326.54002301489,0.539158395781416,0.688277287338048,0.0627793016034153
ENSG00000001497,0.359581253107389,2031.23515772476,1583.20111248124,0.0873808321085938,0.193221512915553,100.0,9.3167294486262e-10,2.4353438764560604e-09,1987.10492622331,0.359581253107389,1.28281386858881,0.040365270750746
ENSG00000001561,-0.615620684784276,2221.76646226372,3404.14848703571,0.265171715794656,0.675313483902807,100.0,1.55217727452427e-09,3.993499947676461e-09,2338.22813081389,0.615620684784276,0.652766383235966,0.0748440880429372
ENSG00000001617,-0.257777417040297,1760.38424361701,2104.79104655973,0.438073235157203,0.937124396483634,100.0,0.0491378427896994,0.0630857220811624,1794.30745125244,0.257777417040297,0.836447778849956,0.0924593327258715
ENSG00000001626,-1.24226369369554,942.541917994233,2229.76487770938,1.56081540339051,5.97848744806724,89.6494156928214,5.02045646492714e-07,1.05422486238392e-06,1069.33015609639,1.24226369369554,0.422967892054626,0.282813286033742
ENSG00000001629,0.606276968103717,3293.8105557812,2163.74415899723,0.161226119149491,0.327103612137027,100.0,2.55883284058455e-14,9.26053789925839e-14,3182.50184558044,0.606276968103717,1.52203231134133,0.0496999901031208
ENSG00000001630,-0.868452578863663,125.948798738224,230.147710214758,0.473553832152992,1.42824462427322,87.1452420701169,2.3133790120822904e-10,6.33708932158882e-10,136.212130586497,0.868452578863663,0.549210713012372,0.178371432568435
ENSG00000001631,0.313128868029806,306.246110832227,246.316162632732,0.167409823659729,0.296175235491632,100.0,0.0001393344530767,0.0002372717256698,300.343161009572,0.313128868029806,1.2423211955156,0.06712614996542
ENSG00000002016,0.408808000580236,398.940605561724,300.501258459442,0.192486079255622,0.413322558516353,100.0,3.18251677594798e-06,6.25423025989004e-06,389.244576381366,0.408808000580236,1.32649730089112,0.0759911508164958
ENSG00000002079,2.90032341450889,38.4586282487894,5.11243548715006,1.37143555720682,2.95655813734136,19.5325542570952,6.08905344896845e-31,6.10296405913224e-30,35.1741117664242,2.90032341450889,6.45546743711925,0.432246142347048
ENSG00000002330,-0.0103041005250199,480.275870853167,483.657190509453,0.242086622175057,0.645740336546518,99.3322203672788,0.91615698244927,0.927725643489559,480.6089223719,0.0103041005250199,0.993023275580145,0.09207172672621
ENSG00000002549,-0.266255381022658,5805.87147076497,6982.81675325765,0.181226898497204,0.398254384178758,100.0,0.0015774914078402,0.0024080876019797,5921.79763381517,0.266255381022658,0.831475348784935,0.0509097857445664
